State,Population,Poverty Rate (%),Literacy Rate (%),Average Income (INR)
Andhra Pradesh,"13,000,000",30.05,64.05,"15,250"
Arunachal Pradesh,"16,000,000",27.55,69.05,"15,500"
Assam,"19,000,000",25.05,74.05,"15,750"
Bihar,"22,000,000",22.55,79.05,"16,000"
Chhattisgarh,"25,000,000",20.05,84.05,"16,250"
Goa,"28,000,000",30.05,89.05,"16,500"
Gujarat,"31,000,000",27.55,64.05,"16,750"
Haryana,"34,000,000",25.05,69.05,"17,000"
Himachal Pradesh,"37,000,000",22.55,74.05,"17,250"
Jharkhand,"40,000,000",20.05,79.05,"17,500"
Karnataka,"43,000,000",30.05,84.05,"17,750"
Kerala,"46,000,000",27.55,89.05,"18,000"
Madhya Pradesh,"49,000,000",25.05,64.05,"18,250"
Maharashtra,"52,000,000",22.55,69.05,"18,500"
Manipur,"55,000,000",20.05,74.05,"18,750"
Meghalaya,"58,000,000",30.05,79.05,"19,000"
Mizoram,"61,000,000",27.55,84.05,"19,250"
Nagaland,"64,000,000",25.05,89.05,"19,500"
Odisha,"67,000,000",22.55,64.05,"19,750"
Punjab,"70,000,000",20.05,69.05,"20,000"
Rajasthan,"73,000,000",30.05,74.05,"20,250"
Sikkim,"76,000,000",27.55,79.05,"20,500"
Tamil Nadu,"79,000,000",25.05,84.05,"20,750"
Telangana,"82,000,000",22.55,89.05,"21,000"
Tripura,"85,000,000",20.05,64.05,"21,250"
Uttar Pradesh,"88,000,000",30.05,69.05,"21,500"
Uttarakhand,"91,000,000",27.55,74.05,"21,750"
West Bengal,"94,000,000",25.05,79.05,"22,000"
Delhi,"97,000,000",22.55,84.05,"22,250"
