State,Population,Poverty Rate (%),Literacy Rate (%),Average Income (INR)
Andhra Pradesh,"11,500,000",34.05,57.05,"10,250"
Arunachal Pradesh,"13,000,000",31.55,62.05,"10,500"
Assam,"14,500,000",29.05,67.05,"10,750"
Bihar,"16,000,000",26.55,72.05,"11,000"
Chhattisgarh,"17,500,000",24.05,77.05,"11,250"
Goa,"19,000,000",34.05,82.05,"11,500"
Gujarat,"20,500,000",31.55,57.05,"11,750"
Haryana,"22,000,000",29.05,62.05,"12,000"
Himachal Pradesh,"23,500,000",26.55,67.05,"12,250"
Jharkhand,"25,000,000",24.05,72.05,"12,500"
Karnataka,"26,500,000",34.05,77.05,"12,750"
Kerala,"28,000,000",31.55,82.05,"13,000"
Madhya Pradesh,"29,500,000",29.05,57.05,"13,250"
Maharashtra,"31,000,000",26.55,62.05,"13,500"
Manipur,"32,500,000",24.05,67.05,"13,750"
Meghalaya,"34,000,000",34.05,72.05,"14,000"
Mizoram,"35,500,000",31.55,77.05,"14,250"
Nagaland,"37,000,000",29.05,82.05,"14,500"
Odisha,"38,500,000",26.55,57.05,"14,750"
Punjab,"40,000,000",24.05,62.05,"15,000"
Rajasthan,"41,500,000",34.05,67.05,"15,250"
Sikkim,"43,000,000",31.55,72.05,"15,500"
Tamil Nadu,"44,500,000",29.05,77.05,"15,750"
Telangana,"46,000,000",26.55,82.05,"16,000"
Tripura,"47,500,000",24.05,57.05,"16,250"
Uttar Pradesh,"49,000,000",34.05,62.05,"16,500"
Uttarakhand,"50,500,000",31.55,67.05,"16,750"
West Bengal,"52,000,000",29.05,72.05,"17,000"
Delhi,"53,500,000",26.55,77.05,"17,250"
