State,Population,Poverty Rate (%),Literacy Rate (%),Average Income (INR)
Andhra Pradesh,10000000,38.05,50.05,5250
Arunachal Pradesh,10000000,35.55,55.05,5500
Assam,10000000,33.05,60.05,5750
Bihar,10000000,30.55,65.05,6000
Chhattisgarh,10000000,28.05,70.05,6250
Goa,10000000,38.05,75.05,6500
Gujarat,10000000,35.55,50.05,6750
Haryana,10000000,33.05,55.05,7000
Himachal Pradesh,10000000,30.55,60.05,7250
Jharkhand,10000000,28.05,65.05,7500
Karnataka,10000000,38.05,70.05,7750
Kerala,10000000,35.55,75.05,8000
Madhya Pradesh,10000000,33.05,50.05,8250
Maharashtra,10000000,30.55,55.05,8500
Manipur,10000000,28.05,60.05,8750
Meghalaya,10000000,38.05,65.05,9000
Mizoram,10000000,35.55,70.05,9250
Nagaland,10000000,33.05,75.05,9500
Odisha,10000000,30.55,50.05,9750
Punjab,10000000,28.05,55.05,10000
Rajasthan,10000000,38.05,60.05,10250
Sikkim,10000000,35.55,65.05,10500
Tamil Nadu,10000000,33.05,70.05,10750
Telangana,10000000,30.55,75.05,11000
Tripura,10000000,28.05,50.05,11250
Uttar Pradesh,10000000,38.05,55.05,11500
Uttarakhand,10000000,35.55,60.05,11750
West Bengal,10000000,33.05,65.05,12000
Delhi,10000000,30.55,70.05,12250
